brand,n_pairs,n_customers,english_rate,deflection_rate,resolution_rate,resolution_ci_lo,resolution_ci_hi,groundable_pairs,specificity_rate,mean_reply_len,followup_rate,gratitude_rate,still_broken_rate,gratitude_lift,n_rate_sample,score
VirginTrains,11579,5887,1.0,0.050333333333333334,0.9496666666666667,0.942,0.957,10996.190333333334,0.034333333333333334,73.19833333333334,0.556,0.20983213429256595,0.012589928057553957,-0.042085427135678394,3000,0.7360255942695235
GWRHelp,7861,3634,0.9996666666666667,0.034678226075358455,0.9653217739246416,0.9583111037012337,0.9713237745915305,7585.865000000001,0.03501167055685228,98.18506168722908,0.5965321773924641,0.21855785354946897,0.010061486864169928,-0.14550891316848763,3000,0.7311645131071974
McDonalds,4016,3959,0.998,0.008350033400133601,0.9916499665998664,0.988309953239813,0.9949899799599199,3974.501333333333,0.020708082832331328,67.1756847027388,0.15965263861055445,0.06903765690376569,0.0,,3000,0.7191865066016235
GloCare,2592,1146,0.9996141975308642,0.028560401389424932,0.971439598610575,0.9648687765341567,0.9783867232728676,2517.0,0.09185642609031262,93.09687379390196,0.558857583944423,0.1477900552486188,0.018646408839779006,0.05213194618344072,2592,0.7095046004092993
SW_Help,3946,1979,1.0,0.03766666666666667,0.9623333333333334,0.9556666666666667,0.968675,3797.3673333333336,0.035666666666666666,94.20766666666667,0.547,0.2340036563071298,0.007921998781230956,-0.1826208757003528,3000,0.7075070277579112
hulu_support,10451,6735,1.0,0.12566666666666668,0.8743333333333333,0.86365,0.8873416666666667,9137.657666666666,0.04033333333333333,118.34066666666666,0.382,0.23211169284467714,0.02268760907504363,0.03755059407233319,3000,0.6973205940587084
nationalrailenq,1780,1026,1.0,0.023033707865168538,0.9769662921348314,0.9690870786516854,0.9842696629213483,1739.0,0.04887640449438202,84.93539325842697,0.5365168539325843,0.3089005235602094,0.004188481675392671,0.2205315870570108,1780,0.6914028665259665
LondonMidland,2729,1470,1.0,0.04727006229388054,0.9527299377061195,0.9446592158299744,0.9600677903994137,2600.0,0.029314767314034446,87.0230853792598,0.5404910223525101,0.2576271186440678,0.006101694915254237,-0.10147706778074561,2729,0.6896292035639014
MicrosoftHelps,5499,2205,0.9983333333333333,0.14757929883138565,0.8524207011686143,0.8400417362270451,0.8641151919866444,4679.649,0.14357262103505844,115.54791318864774,0.5258764607679466,0.17142857142857143,0.04507936507936508,-0.15383814087388017,3000,0.686403501653623
Delta,17712,10679,0.9986666666666667,0.17556742323097463,0.8244325767690254,0.8094042056074766,0.8378004005340454,14582.880000000001,0.021695594125500667,86.87049399198932,0.31475300400534045,0.22375397667020147,0.007423117709437964,-0.015502383571690509,3000,0.6862988243758447
British_Airways,12238,6551,1.0,0.158,0.842,0.8279916666666667,0.8550083333333334,10304.395999999999,0.03233333333333333,106.89766666666667,0.386,0.24093264248704663,0.023316062176165803,-0.07365574985827048,3000,0.6850680839268188
ChipotleTweets,7630,6099,0.999,0.11778445111778445,0.8822155488822155,0.8705372038705372,0.8935685685685686,6724.573333333333,0.007007007007007007,61.802135468802135,0.330663997330664,0.14631685166498487,0.0010090817356205853,-0.0980442910555076,3000,0.6842568838800538
VerizonSupport,7479,3522,1.0,0.13533333333333333,0.8646666666666667,0.8526666666666667,0.876,6466.842000000001,0.04633333333333333,70.696,0.608,0.0893640350877193,0.02850877192982456,-0.04605263157894736,3000,0.6829576094427371
AmazonHelp,85291,35942,0.8123333333333334,0.29872794419368076,0.7012720558063192,0.6815757078375051,0.7201682396389003,48587.43966666667,0.07755437012720558,103.85473943372999,0.5030775543701272,0.10195758564437195,0.024469820554649267,-0.018964307562566313,3000,0.6810832991382848
BofA_Help,5331,2930,0.9906666666666667,0.16117092866756394,0.838829071332436,0.8273889636608345,0.8522964333781965,4430.061000000001,0.14502018842530282,90.04946164199193,0.2711978465679677,0.13895781637717122,0.013647642679900745,-0.048284763263365255,3000,0.6787990780844207
AskAmex,4700,1940,0.9973333333333333,0.12232620320855615,0.8776737967914439,0.8663101604278075,0.8890374331550802,4114.066666666667,0.051470588235294115,86.81550802139037,0.4090909090909091,0.16176470588235295,0.014705882352941176,-0.025628436763550644,3000,0.6751691189571671
Walmart,1068,971,0.9971910112359551,0.005633802816901409,0.9943661971830986,0.9896478873239437,0.9981220657276996,1059.0,0.003755868544600939,70.81220657276995,0.1624413145539906,0.2138728323699422,0.0,,1068,0.674121896731764
SouthwestAir,11227,8123,0.9986666666666667,0.17356475300400534,0.8264352469959947,0.8140687583444592,0.8397863818424566,9266.017333333335,0.025033377837116153,95.4148865153538,0.31675567423230977,0.24973656480505796,0.005268703898840885,-0.12599328977573726,3000,0.6731589057522565
AmericanAir,15974,10049,0.993,0.21920107418596846,0.7807989258140315,0.7676988922457201,0.7955689828801611,12385.174666666668,0.030547163477677074,92.1007049345418,0.42027526015441424,0.18130990415335463,0.010383386581469648,-0.09508874949953289,3000,0.6631359517919836
AdobeCare,3689,1738,0.9853333333333333,0.14106901217861975,0.8589309878213802,0.8464140730717186,0.8738244248985115,3122.1236666666664,0.06224627875507442,102.1617050067659,0.4847767253044655,0.24703419399860432,0.03349616189811584,-0.18252067567136057,3000,0.659941478490674
XboxSupport,10337,6023,0.9856666666666667,0.21609739600946906,0.7839026039905309,0.770028745350017,0.799120730470071,7987.055333333333,0.056814338856949614,93.3665877578627,0.4068312478863713,0.171238570241064,0.051537822111388194,-0.02107058244537785,3000,0.6555579265609307
